IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
15978;15978-6;15978-6-2;25;MED-COM;Sin Dato;SANTA RITA SURORIENTAL;2;1;8;$828.117 - $ 1.500.000;2;BOGOTA, D.C;Uber ;Moto;BARRIOS UNIDOS;Carro y Moto;BARRIOS UNIDOS;;SAN CRISTOBAL;cluster_0
15978;15978-6;15978-6-1;25;MED-COM;Sin Dato;SANTA RITA SURORIENTAL;2;1;8;$828.117 - $ 1.500.000;2;BOGOTA, D.C;Uber ;Moto;SAN CRISTOBAL;Carro y Moto;SAN CRISTOBAL;4°33?53?N 74°05?00?O;BARRIOS UNIDOS;cluster_0
16034;16034-6;16034-6-4;12;SEC-IN;Sin Dato;SANTA ROSITA;3;4;7;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;ENGATIVA;No tiene vehículo;ENGATIVA;;ENGATIVA;cluster_0
16034;16034-6;16034-6-1;12;SEC-IN;Sin Dato;SANTA ROSITA;3;4;7;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;ENGATIVA;No tiene vehículo;ENGATIVA;;ENGATIVA;cluster_0
16034;16034-6;16034-6-2;12;SEC-IN;Sin Dato;SANTA ROSITA;3;4;7;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;ENGATIVA;No tiene vehículo;ENGATIVA;;ENGATIVA;cluster_0
16034;16034-6;16034-6-3;12;SEC-IN;Sin Dato;SANTA ROSITA;3;4;7;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;A pie;ENGATIVA;No tiene vehículo;ENGATIVA;;ENGATIVA;cluster_0
16071;16071-6;16071-6-2;5;PRE;Sin Dato;SAN ISIDRO;1;1;6;No sabe - No responde;0;BOGOTA, D.C;Uber ;SITP Zonal;BARRIOS UNIDOS;No tiene vehículo;BARRIOS UNIDOS;;CHAPINERO;cluster_0
16071;16071-6;16071-6-1;5;PRE;Sin Dato;SAN ISIDRO;1;1;6;No sabe - No responde;0;BOGOTA, D.C;Uber ;SITP Zonal;CHAPINERO;No tiene vehículo;CHAPINERO;4°38?45?N 74°03?48?O;BARRIOS UNIDOS;cluster_0
16117;16117-6;16117-6-2;21;MED-COM;Mujer;SAN MATEO;3;1;6;$ 0 - $ 828.116;1;SOACHA;Uber ;Intermunicipal;BOSA;Camioneta;BOSA;4°37?01?N 74°11?24?O;SOACHA;cluster_0
16117;16117-6;16117-6-1;21;MED-COM;Mujer;SAN MATEO;3;1;6;$ 0 - $ 828.116;1;SOACHA;Uber ;Intermunicipal;UPR;Camioneta;SOACHA;4°34'45.7'' N 74°13'0.6'' O;BOSA;cluster_0
16164;16164-6;16164-6-2;53;SEC-IN;Mujer;SAN ISIDRO;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;A pie;CIUDAD BOLIVAR;No tiene vehículo;CIUDAD BOLIVAR;4°32?10?N 74°08?20?O;CIUDAD BOLIVAR;cluster_0
16164;16164-6;16164-6-1;53;SEC-IN;Mujer;SAN ISIDRO;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;A pie;CIUDAD BOLIVAR;No tiene vehículo;CIUDAD BOLIVAR;4°32?10?N 74°08?20?O;CIUDAD BOLIVAR;cluster_0
